Grid,Range,Avg_Accuracy,Lowest Accuracy,Avg_Faster
5x5,1 - 5,89.776%,50.0%,294.171%
5x5,1 - 10,95.421%,84.211%,276.481%
5x5,1 - 20,100.0%,100%,209.736%
5x5,1 - 50,99.429%,94.286%,162.958%
5x5,1 - 100,100.0%,100%,165.083%
5x5,1 - 500,100.0%,100%,118.924%
5x5,1 - 1000,100.0%,100%,133.722%
5x10,1 - 5,81.015%,64.706%,391.766%
5x10,1 - 10,92.909%,80.645%,331.869%
5x10,1 - 20,98.085%,93.443%,190.837%
5x10,1 - 50,99.815%,98.148%,118.342%
5x10,1 - 100,99.906%,99.057%,116.051%
5x10,1 - 500,100.0%,100%,100.033%
5x10,1 - 1000,100.0%,100%,98.071%
5x15,1 - 5,80.375%,63.636%,376.239%
5x15,1 - 10,95.088%,83.333%,315.964%
5x15,1 - 20,98.926%,96.97%,227.4%
5x15,1 - 50,99.896%,98.964%,110.676%
5x15,1 - 100,99.953%,99.528%,106.058%
5x15,1 - 500,100.0%,100%,99.484%
5x15,1 - 1000,100.0%,100%,103.886%
5x20,1 - 5,88.695%,66.667%,390.776%
5x20,1 - 10,91.959%,77.419%,326.228%
5x20,1 - 20,98.63%,95.37%,149.793%
5x20,1 - 50,99.851%,99.209%,105.901%
5x20,1 - 100,100.0%,100%,107.48%
5x20,1 - 500,100.0%,100%,102.216%
5x20,1 - 1000,100.0%,100%,98.58%
5x25,1 - 5,87.705%,72.0%,423.812%
5x25,1 - 10,93.848%,84.932%,402.422%
5x25,1 - 20,99.36%,96.899%,149.986%
5x25,1 - 50,99.853%,99.267%,105.36%
5x25,1 - 100,100.0%,100%,115.105%
5x25,1 - 500,100.0%,100%,106.583%
5x25,1 - 1000,100.0%,100%,85.627%
5x30,1 - 5,85.622%,74.545%,471.273%
5x30,1 - 10,92.946%,78.788%,347.842%
5x30,1 - 20,99.169%,96.429%,145.894%
5x30,1 - 50,99.942%,99.422%,102.578%
5x30,1 - 100,100.0%,100%,104.229%
5x30,1 - 500,100.0%,100%,96.239%
5x30,1 - 1000,100.0%,100%,100.247%
5x40,1 - 5,88.965%,79.012%,457.999%
5x40,1 - 10,91.301%,83.721%,373.494%
5x40,1 - 20,98.689%,94.924%,143.943%
5x40,1 - 50,99.83%,99.323%,107.253%
5x40,1 - 100,100.0%,100%,103.524%
5x40,1 - 500,100.0%,100%,97.059%
5x40,1 - 1000,100.0%,100%,94.867%
5x50,1 - 5,90.186%,86.0%,469.017%
5x50,1 - 10,92.379%,87.5%,366.865%
5x50,1 - 20,99.145%,95.455%,139.379%
5x50,1 - 50,99.897%,99.651%,95.697%
5x50,1 - 100,99.99%,99.904%,85.226%
5x50,1 - 500,100.0%,100%,98.732%
5x50,1 - 1000,100.0%,100%,97.312%
10x5,1 - 5,79.986%,59.091%,369.019%
10x5,1 - 10,91.821%,68.966%,355.368%
10x5,1 - 20,97.453%,93.182%,197.131%
10x5,1 - 50,99.859%,99.27%,141.221%
10x5,1 - 100,100.0%,100%,110.494%
10x5,1 - 500,100.0%,100%,105.858%
10x5,1 - 1000,100.0%,100%,105.107%
10x10,1 - 5,85.211%,69.231%,894.625%
10x10,1 - 10,87.005%,67.442%,719.958%
10x10,1 - 20,98.029%,90.909%,346.497%
10x10,1 - 50,99.921%,99.213%,205.16%
10x10,1 - 100,99.965%,99.649%,157.723%
10x10,1 - 500,100.0%,100%,114.483%
10x10,1 - 1000,100.0%,100%,117.478%
10x15,1 - 5,81.235%,71.429%,1203.96%
10x15,1 - 10,89.458%,75.41%,965.301%
10x15,1 - 20,98.541%,94.937%,563.024%
10x15,1 - 50,99.939%,99.387%,145.111%
10x15,1 - 100,99.904%,99.038%,142.567%
10x15,1 - 500,100.0%,100%,121.892%
10x15,1 - 1000,100.0%,100%,114.961%
10x20,1 - 5,83.553%,65.116%,1329.367%
10x20,1 - 10,86.713%,52.0%,947.106%
10x20,1 - 20,95.608%,91.27%,477.465%
10x20,1 - 50,99.86%,99.065%,152.844%
10x20,1 - 100,99.893%,98.93%,113.481%
10x20,1 - 500,100.0%,100%,105.673%
10x20,1 - 1000,100.0%,100%,102.768%
10x25,1 - 5,80.199%,70.588%,1420.63%
10x25,1 - 10,84.322%,75.0%,1151.726%
10x25,1 - 20,96.872%,92.241%,479.77%
10x25,1 - 50,99.784%,99.163%,118.525%
10x25,1 - 100,99.959%,99.59%,110.079%
10x25,1 - 500,100.0%,100%,116.401%
10x25,1 - 1000,100.0%,100%,103.327%
10x30,1 - 5,84.045%,69.118%,1380.831%
10x30,1 - 10,87.05%,78.947%,1201.582%
10x30,1 - 20,97.462%,90.184%,425.858%
10x30,1 - 50,99.94%,99.401%,121.743%
10x30,1 - 100,100.0%,100%,118.636%
10x30,1 - 500,100.0%,100%,111.493%
10x30,1 - 1000,100.0%,100%,110.502%
10x40,1 - 5,84.928%,67.0%,1581.946%
10x40,1 - 10,91.196%,84.426%,1438.639%
10x40,1 - 20,96.131%,87.435%,498.21%
10x40,1 - 50,99.913%,99.588%,112.621%
10x40,1 - 100,99.978%,99.781%,107.024%
10x40,1 - 500,100.0%,100%,99.763%
10x40,1 - 1000,100.0%,100%,108.929%
10x50,1 - 5,84.708%,81.0%,1745.349%
10x50,1 - 10,86.347%,75.0%,1337.384%
10x50,1 - 20,96.585%,93.985%,469.841%
10x50,1 - 50,99.857%,99.112%,106.717%
10x50,1 - 100,99.969%,99.787%,101.455%
10x50,1 - 500,100.0%,100%,102.003%
10x50,1 - 1000,100.0%,100%,102.569%
15x5,1 - 5,86.785%,77.419%,381.699%
15x5,1 - 10,94.954%,86.111%,334.618%
15x5,1 - 20,99.268%,97.297%,180.388%
15x5,1 - 50,99.889%,98.895%,103.652%
15x5,1 - 100,100.0%,100%,104.617%
15x5,1 - 500,100.0%,100%,92.516%
15x5,1 - 1000,100.0%,100%,96.731%
15x10,1 - 5,89.77%,78.125%,1171.8%
15x10,1 - 10,89.253%,72.34%,1019.562%
15x10,1 - 20,96.377%,90.0%,341.195%
15x10,1 - 50,100.0%,100%,183.946%
15x10,1 - 100,100.0%,100%,112.114%
15x10,1 - 500,100.0%,100%,118.539%
15x10,1 - 1000,100.0%,100%,121.29%
15x15,1 - 5,83.314%,72.093%,1870.496%
15x15,1 - 10,87.176%,73.214%,1651.749%
15x15,1 - 20,97.186%,94.937%,744.829%
15x15,1 - 50,99.755%,98.522%,155.712%
15x15,1 - 100,99.975%,99.75%,108.942%
15x15,1 - 500,100.0%,100%,106.634%
15x15,1 - 1000,100.0%,100%,122.338%
15x20,1 - 5,80.513%,72.222%,2643.542%
15x20,1 - 10,84.908%,68.056%,2239.467%
15x20,1 - 20,97.163%,89.423%,839.22%
15x20,1 - 50,99.935%,99.346%,136.727%
15x20,1 - 100,100.0%,100%,119.157%
15x20,1 - 500,100.0%,100%,107.373%
15x20,1 - 1000,100.0%,100%,124.236%
15x25,1 - 5,78.945%,70.37%,2968.125%
15x25,1 - 10,81.739%,68.519%,2332.642%
15x25,1 - 20,96.591%,91.096%,1022.174%
15x25,1 - 50,99.765%,99.016%,144.483%
15x25,1 - 100,99.965%,99.653%,107.554%
15x25,1 - 500,100.0%,100%,106.946%
15x25,1 - 1000,100.0%,100%,111.391%
15x30,1 - 5,81.305%,74.194%,2888.034%
15x30,1 - 10,87.77%,73.333%,2629.425%
15x30,1 - 20,96.578%,86.897%,869.668%
15x30,1 - 50,100.0%,100%,136.161%
15x30,1 - 100,99.935%,99.504%,122.202%
15x30,1 - 500,100.0%,100%,95.904%
